Transparent|透明
Entrance (Snow)|入口(雪)
Entrance (Snow)|入口(雪)
Entrance (Snow)|入口(雪)
Rooftop (Snow)|屋上(雪)
Rooftop (Snow)|屋上(雪)
Entrance|入口
Roof (Snow)|屋根(雪)
Roof (Snow)|屋根(雪)
Eaves (Snow)|庇(雪)
Eaves (Snow)|庇(雪)
Eaves (Snow)|庇(雪)
Rooftop (Snow)|屋上(雪)
Rooftop (Snow)|屋上(雪)
Entrance|入口
Roof (Snow)|屋根(雪)
Roof (Snow)|屋根(雪)
Eaves (Snow)|庇(雪)
Eaves (Snow)|庇(雪)
Eaves (Snow)|庇(雪)
NONE
Entrance|入口
Entrance|入口
Entrance|入口
Entrance|入口
Eaves (Snow)|庇(雪)
Eaves (Snow)|庇(雪)
Eaves (Snow)|庇(雪)
Tree|木
Tree|木
Entrance|入口
Entrance|入口
Entrance|入口
Tree|木
Mat|マット
Mat|マット
Tree|木
Tree|木
Dead Tree|枯れ木
Dead Tree|枯れ木
Dead Tree (Snow)|枯れ木（雪）
Tree|木
Tree|木
Tree|木
Tree|木
Tree|木
Dead Tree|枯れ木
Dead Tree|枯れ木
Dead Tree (Snow)|枯れ木（雪）
Tree|木
Tree|木
Tree|木
Tree|木
Tree|木
Dead Tree|枯れ木
Dead Tree|枯れ木
Dead Tree (Snow)|枯れ木（雪）
Conifer Tree (Snow)|針葉樹（雪）
Conifer Tree (Snow)|針葉樹（雪）
Conifer Tree (Snow)|針葉樹（雪）
Conifer Tree (Snow)|針葉樹（雪）
Conifer Tree|針葉樹
Conifer Tree|針葉樹
Conifer Tree|針葉樹
Conifer Tree|針葉樹
Conifer Tree (Snow)|針葉樹（雪）
Conifer Tree (Snow)|針葉樹（雪）
Conifer Tree (Snow)|針葉樹（雪）
Conifer Tree (Snow)|針葉樹（雪）
Conifer Tree|針葉樹
Conifer Tree|針葉樹
Conifer Tree|針葉樹
Conifer Tree|針葉樹
Dead Tree|枯れ木
Dead Tree|枯れ木
Dead Tree|枯れ木
Dead Tree|枯れ木
Dead Tree (Snow)|枯れ木（雪）
Dead Tree (Snow)|枯れ木（雪）
Dead Tree (Snow)|枯れ木（雪）
Dead Tree (Snow)|枯れ木（雪）
Dead Tree|枯れ木
Dead Tree|枯れ木
Dead Tree|枯れ木
Dead Tree|枯れ木
Dead Tree (Snow)|枯れ木（雪）
Dead Tree (Snow)|枯れ木（雪）
Dead Tree (Snow)|枯れ木（雪）
Dead Tree (Snow)|枯れ木（雪）
Palm Tree|ヤシの木
Palm Tree|ヤシの木
Palm Tree|ヤシの木
Palm Tree|ヤシの木
Tree|木
Tree|木
Stairs (Down)|階段（下り）
Stairs (Down)|階段（下り）
Palm Tree|ヤシの木
Palm Tree|ヤシの木
Palm Tree|ヤシの木
Palm Tree|ヤシの木
Tree|木
Tree|木
Stairs (Up)|階段（上り）
Stairs (Up)|階段（上り）
Large Tree|大木
Large Tree|大木
Large Tree|大木
Large Tree|大木
Large Tree|大木
Large Tree|大木
Stairs (Down)|階段（下り）
Stairs (Down)|階段（下り）
Large Tree|大木
Large Tree|大木
Large Tree|大木
Large Tree|大木
Large Tree|大木
Large Tree|大木
Stairs (Up)|階段（上り）
Stairs (Up)|階段（上り）
Large Tree|大木
Large Tree|大木
Large Tree|大木
Large Tree|大木
Large Tree|大木
Large Tree|大木
Mat|マット
Mat|マット
