Transparent|透明
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
NONE
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
NONE
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
NONE
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
NONE
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile)|屋根（赤瓦）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Tree|木
Tree|木
Tree|木
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Tree|木
Tree|木
Tree|木
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Tree|木
Conifer Tree|針葉樹
Conifer Tree|針葉樹
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Dead Tree|枯れ木
Conifer Tree|針葉樹
Conifer Tree|針葉樹
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Roof (Red Tile, Ruins)|屋根（赤瓦・廃墟）
Dead Tree|枯れ木
Conifer Tree (Snow)|針葉樹（雪）
Conifer Tree (Snow)|針葉樹（雪）
Stairs (Down)|階段（下り）
Stairs (Down)|階段（下り）
Stairs (Down)|階段（下り）
Stairs (Down)|階段（下り）
Dead Tree|枯れ木
Dead Tree|枯れ木
Conifer Tree (Snow)|針葉樹（雪）
Conifer Tree (Snow)|針葉樹（雪）
Stairs (Up)|階段（上り）
Stairs (Up)|階段（上り）
Stairs (Up)|階段（上り）
Stairs (Up)|階段（上り）
Dead Tree|枯れ木
Dead Tree|枯れ木
Dead Tree (Snow)|枯れ木（雪）
Dead Tree (Snow)|枯れ木（雪）
