Darkness|暗闇
Wall (Brick, Ruins)|壁（レンガ・廃墟）
Stairs (Stone, Ice)|階段（石・氷）
Stairs (Stone, Ice)|階段（石・氷）
Wall (Brick, Ruins)|壁（レンガ・廃墟）
Wall (Brick, Ruins)|壁（レンガ・廃墟）
Wall (Brick, Ruins)|壁（レンガ・廃墟）
Wall (Brick, Snow)|壁（レンガ・雪）
Wall (Brick, Snow)|壁（レンガ・雪）
Wall (Brick, Snow)|壁（レンガ・雪）
Stairs (Stone, Ice)|階段（石・氷）
Stairs (Stone, Ice)|階段（石・氷）
Wall (Brick, Ruins)|壁（レンガ・廃墟）
Wall (Brick, Ruins)|壁（レンガ・廃墟）
Wall (Brick, Ruins)|壁（レンガ・廃墟）
Wall (Brick, Snow)|壁（レンガ・雪）
Wall (Brick, Snow)|壁（レンガ・雪）
Wall (Brick, Snow)|壁（レンガ・雪）
Stairs (Stone, Ice)|階段（石・氷）
Stairs (Stone, Ice)|階段（石・氷）
Wall (Stone, Ruins)|壁（石・廃墟）
Wall (Stone, Ruins)|壁（石・廃墟）
Wall (Stone, Ruins)|壁（石・廃墟）
Wall (Green Stone, Ruins)|壁（緑石・廃墟）
Wall (Green Stone, Ruins)|壁（緑石・廃墟）
Wall (Green Stone, Ruins)|壁（緑石・廃墟）
Ledge (Stone, Ice)|段差（石・氷）
Ledge (Stone, Ice)|段差（石・氷）
Wall (Stone, Ruins)|壁（石・廃墟）
Wall (Stone, Ruins)|壁（石・廃墟）
Wall (Stone, Ruins)|壁（石・廃墟）
Wall (Green Stone, Ruins)|壁（緑石・廃墟）
Wall (Green Stone, Ruins)|壁（緑石・廃墟）
Wall (Green Stone, Ruins)|壁（緑石・廃墟）
Ledge (Stone, Ice)|段差（石・氷）
Ledge (Stone, Ice)|段差（石・氷）
Ledge (Stone, Ice)|段差（石・氷）
Ledge (Stone, Ice)|段差（石・氷）
Ledge (Stone, Ice)|段差（石・氷）
Ledge (Stone, Ice)|段差（石・氷）
Ground (Stone, Ice)|床（石・氷）
Ground (Snow)|床（雪）
